site,treatment,replicate,analyte,value
site_A,GM_line,5,fat_pct_dw,3.526
site_A,GM_line,5,fiber_pct_dw,2.805
site_A,GM_line,5,ash_pct_dw,1.453
site_A,GM_line,5,carbohydrate_pct_dw,83.558
site_A,GM_line,5,trypsin_inhibitor_mg_g,3.014
site_A,GM_line,5,lectin_hu_mg,0.872
site_A,GM_line,5,iron_mg_kg,59.048
site_A,GM_line,5,zinc_mg_kg,29.739
site_A,GM_line,5,vitamin_b6_mg_kg,5.381
site_A,GM_line,6,protein_pct_dw,7.891
site_A,GM_line,6,fat_pct_dw,4.595
site_A,GM_line,6,fiber_pct_dw,1.968
site_A,GM_line,6,ash_pct_dw,1.486
site_A,GM_line,6,carbohydrate_pct_dw,82.049
site_A,GM_line,6,trypsin_inhibitor_mg_g,4.447
site_A,GM_line,6,lectin_hu_mg,2.919
site_A,GM_line,6,iron_mg_kg,64.796
site_A,GM_line,6,zinc_mg_kg,37.102
site_A,GM_line,6,vitamin_b6_mg_kg,4.941
site_A,conventional_control,1,protein_pct_dw,8.583
site_A,conventional_control,1,fat_pct_dw,4.462
site_A,conventional_control,1,fiber_pct_dw,1.734
site_A,conventional_control,1,ash_pct_dw,1.55
site_A,conventional_control,1,carbohydrate_pct_dw,83.903
site_A,conventional_control,1,trypsin_inhibitor_mg_g,3.081
site_A,conventional_control,1,lectin_hu_mg,1.187
site_A,conventional_control,1,iron_mg_kg,51.483
site_A,conventional_control,1,zinc_mg_kg,24.715
site_A,conventional_control,1,vitamin_b6_mg_kg,5.662
site_A,conventional_control,2,protein_pct_dw,7.198
site_A,conventional_control,2,fat_pct_dw,4.615
site_A,conventional_control,2,fiber_pct_dw,1.947
site_A,conventional_control,2,ash_pct_dw,1.257
site_A,conventional_control,2,carbohydrate_pct_dw,83.191
site_A,conventional_control,2,trypsin_inhibitor_mg_g,2.9
site_A,conventional_control,2,lectin_hu_mg,2.219
site_A,conventional_control,2,iron_mg_kg,47.394
site_A,conventional_control,2,zinc_mg_kg,28.971
site_A,conventional_control,2,vitamin_b6_mg_kg,3.329
site_A,conventional_control,3,protein_pct_dw,6.908
site_A,conventional_control,3,fat_pct_dw,5.219
site_A,conventional_control,3,fiber_pct_dw,2.825
site_A,conventional_control,3,ash_pct_dw,1.409
site_A,conventional_control,3,carbohydrate_pct_dw,82.341
site_A,conventional_control,3,trypsin_inhibitor_mg_g,2.921
site_A,conventional_control,3,lectin_hu_mg,2.237
site_A,conventional_control,3,iron_mg_kg,51.914
site_A,conventional_control,3,zinc_mg_kg,32.951
site_A,conventional_control,3,vitamin_b6_mg_kg,4.991
site_A,conventional_control,4,protein_pct_dw,7.716
site_A,conventional_control,4,fat_pct_dw,4.29
site_A,conventional_control,4,fiber_pct_dw,2.288
site_A,conventional_control,4,ash_pct_dw,1.302
site_A,conventional_control,4,carbohydrate_pct_dw,83.361
site_A,conventional_control,4,trypsin_inhibitor_mg_g,2.817
site_A,conventional_control,4,lectin_hu_mg,1.864
site_A,conventional_control,4,iron_mg_kg,63.304
site_A,conventional_control,4,zinc_mg_kg,31.327
site_A,conventional_control,4,vitamin_b6_mg_kg,5.644
site_A,conventional_control,5,protein_pct_dw,7.104
site_A,conventional_control,5,fat_pct_dw,4.312
site_A,conventional_control,5,fiber_pct_dw,2.208
site_A,conventional_control,5,ash_pct_dw,1.592
site_A,conventional_control,5,carbohydrate_pct_dw,81.432
site_A,conventional_control,5,trypsin_inhibitor_mg_g,3.042
site_A,conventional_control,5,lectin_hu_mg,2.528
site_A,conventional_control,5,iron_mg_kg,50.29
site_A,conventional_control,5,zinc_mg_kg,31.149
site_A,conventional_control,5,vitamin_b6_mg_kg,5.232
site_A,conventional_control,6,protein_pct_dw,8.092
site_A,conventional_control,6,fat_pct_dw,5.126
site_A,conventional_control,6,fiber_pct_dw,2.335
site_A,conventional_control,6,ash_pct_dw,1.533
site_A,conventional_control,6,carbohydrate_pct_dw,82.712
site_A,conventional_control,6,trypsin_inhibitor_mg_g,2.656
site_A,conventional_control,6,lectin_hu_mg,1.687
site_A,conventional_control,6,iron_mg_kg,48.045
site_A,conventional_control,6,zinc_mg_kg,33.934
site_A,conventional_control,6,vitamin_b6_mg_kg,4.73
site_B,GM_line,1,protein_pct_dw,7.664
site_B,GM_line,1,fat_pct_dw,4.699
site_B,GM_line,1,fiber_pct_dw,1.857
site_B,GM_line,1,ash_pct_dw,1.477
site_B,GM_line,1,carbohydrate_pct_dw,82.617
site_B,GM_line,1,trypsin_inhibitor_mg_g,3.795
site_B,GM_line,1,lectin_hu_mg,1.604
site_B,GM_line,1,iron_mg_kg,58.791
site_B,GM_line,1,zinc_mg_kg,32.718
site_B,GM_line,1,vitamin_b6_mg_kg,5.521
site_B,GM_line,2,protein_pct_dw,8.055
site_B,GM_line,2,fat_pct_dw,3.835
site_B,GM_line,2,fiber_pct_dw,2.503
site_B,GM_line,2,ash_pct_dw,1.391
site_B,GM_line,2,carbohydrate_pct_dw,83.632
site_B,GM_line,2,trypsin_inhibitor_mg_g,3.514
site_B,GM_line,2,lectin_hu_mg,1.413
site_B,GM_line,2,iron_mg_kg,49.511
site_B,GM_line,2,zinc_mg_kg,34.621
site_B,GM_line,2,vitamin_b6_mg_kg,4.788
site_B,GM_line,3,protein_pct_dw,8.468
site_B,GM_line,3,fat_pct_dw,4.429
site_B,GM_line,3,fiber_pct_dw,2.507
site_B,GM_line,3,ash_pct_dw,1.442
site_B,GM_line,3,carbohydrate_pct_dw,83.23
site_B,GM_line,3,trypsin_inhibitor_mg_g,2.876
site_B,GM_line,3,lectin_hu_mg,1.916
site_B,GM_line,3,iron_mg_kg,62.157
site_B,GM_line,3,zinc_mg_kg,31.783
site_B,GM_line,3,vitamin_b6_mg_kg,5.372
site_B,GM_line,4,protein_pct_dw,8.023
site_B,GM_line,4,fat_pct_dw,4.55
site_B,GM_line,4,fiber_pct_dw,2.717
site_B,GM_line,4,ash_pct_dw,1.52
site_B,GM_line,4,carbohydrate_pct_dw,83.064
site_B,GM_line,4,trypsin_inhibitor_mg_g,3.229
site_B,GM_line,4,lectin_hu_mg,1.449
site_B,GM_line,4,iron_mg_kg,53.962
site_B,GM_line,4,zinc_mg_kg,33.238
site_B,GM_line,4,vitamin_b6_mg_kg,5.595
site_B,GM_line,5,protein_pct_dw,8.375
site_B,GM_line,5,fat_pct_dw,4.056
site_B,GM_line,5,fiber_pct_dw,2.493
site_B,GM_line,5,ash_pct_dw,1.391
site_B,GM_line,5,carbohydrate_pct_dw,82.21
site_B,GM_line,5,trypsin_inhibitor_mg_g,3.902
site_B,GM_line,5,lectin_hu_mg,2.532
site_B,GM_line,5,iron_mg_kg,56.582
site_B,GM_line,5,zinc_mg_kg,34.835
site_B,GM_line,5,vitamin_b6_mg_kg,5.537
site_B,GM_line,6,protein_pct_dw,8.698
site_B,GM_line,6,fat_pct_dw,4.791
site_B,GM_line,6,fiber_pct_dw,1.802
site_B,GM_line,6,ash_pct_dw,1.601
site_B,GM_line,6,carbohydrate_pct_dw,83.853
site_B,GM_line,6,trypsin_inhibitor_mg_g,2.794
site_B,GM_line,6,lectin_hu_mg,1.285
site_B,GM_line,6,iron_mg_kg,58.029
site_B,GM_line,6,zinc_mg_kg,30.887
site_B,GM_line,6,vitamin_b6_mg_kg,5.231
site_B,conventional_control,1,protein_pct_dw,8.372
site_B,conventional_control,1,fat_pct_dw,4.273
site_B,conventional_control,1,fiber_pct_dw,1.865
site_B,conventional_control,1,ash_pct_dw,1.439
site_B,conventional_control,1,carbohydrate_pct_dw,82.573
site_B,conventional_control,1,trypsin_inhibitor_mg_g,3.188
site_B,conventional_control,1,lectin_hu_mg,1.128
site_B,conventional_control,1,iron_mg_kg,53.487
site_B,conventional_control,1,zinc_mg_kg,34.86
site_B,conventional_control,1,vitamin_b6_mg_kg,5.424
site_B,conventional_control,2,protein_pct_dw,7.606
site_B,conventional_control,2,fat_pct_dw,4.033
site_B,conventional_control,2,fiber_pct_dw,2.205
site_B,conventional_control,2,ash_pct_dw,1.456
site_B,conventional_control,2,carbohydrate_pct_dw,83.324
site_B,conventional_control,2,trypsin_inhibitor_mg_g,2.793
site_B,conventional_control,2,lectin_hu_mg,1.949
site_B,conventional_control,2,iron_mg_kg,64.014
site_B,conventional_control,2,zinc_mg_kg,32.821
site_B,conventional_control,2,vitamin_b6_mg_kg,3.857
site_B,conventional_control,3,protein_pct_dw,8.102
site_B,conventional_control,3,fat_pct_dw,5.318
site_B,conventional_control,3,fiber_pct_dw,1.814
site_B,conventional_control,3,ash_pct_dw,1.403
site_B,conventional_control,3,carbohydrate_pct_dw,82.819
site_B,conventional_control,3,trypsin_inhibitor_mg_g,3.158
site_B,conventional_control,3,lectin_hu_mg,1.897
site_B,conventional_control,3,iron_mg_kg,61.84
site_B,conventional_control,3,zinc_mg_kg,32.339
site_B,conventional_control,3,vitamin_b6_mg_kg,5.894
site_B,conventional_control,4,protein_pct_dw,7.941
site_B,conventional_control,4,fat_pct_dw,4.36
site_B,conventional_control,4,fiber_pct_dw,1.999
site_B,conventional_control,4,ash_pct_dw,1.218
site_B,conventional_control,4,carbohydrate_pct_dw,83.221
site_B,conventional_control,4,trypsin_inhibitor_mg_g,4.332
site_B,conventional_control,4,lectin_hu_mg,2.029
site_B,conventional_control,4,iron_mg_kg,59.12
site_B,conventional_control,4,zinc_mg_kg,30.348
site_B,conventional_control,4,vitamin_b6_mg_kg,4.829
site_B,conventional_control,5,protein_pct_dw,8.492
site_B,conventional_control,5,fat_pct_dw,5.303
site_B,conventional_control,5,fiber_pct_dw,2.646
site_B,conventional_control,5,ash_pct_dw,1.481
site_B,conventional_control,5,carbohydrate_pct_dw,83.028
site_B,conventional_control,5,trypsin_inhibitor_mg_g,3.226
site_B,conventional_control,5,lectin_hu_mg,1.423
site_B,conventional_control,5,iron_mg_kg,46.311
site_B,conventional_control,5,zinc_mg_kg,27.493
site_B,conventional_control,5,vitamin_b6_mg_kg,5.035
site_B,conventional_control,6,protein_pct_dw,7.854
site_B,conventional_control,6,fat_pct_dw,3.912
site_B,conventional_control,6,fiber_pct_dw,2.189
site_B,conventional_control,6,ash_pct_dw,1.368
site_B,conventional_control,6,carbohydrate_pct_dw,82.062
site_B,conventional_control,6,trypsin_inhibitor_mg_g,2.878
site_B,conventional_control,6,lectin_hu_mg,1.64
site_B,conventional_control,6,iron_mg_kg,51.3
site_B,conventional_control,6,zinc_mg_kg,35.707
site_B,conventional_control,6,vitamin_b6_mg_kg,3.668
site_C,GM_line,1,protein_pct_dw,7.007
site_C,GM_line,1,fat_pct_dw,4.501
site_C,GM_line,1,fiber_pct_dw,2.229
site_C,GM_line,1,ash_pct_dw,1.44
site_C,GM_line,1,carbohydrate_pct_dw,82.569
site_C,GM_line,1,trypsin_inhibitor_mg_g,2.549
site_C,GM_line,1,lectin_hu_mg,1.796
site_C,GM_line,1,iron_mg_kg,52.351
site_C,GM_line,1,zinc_mg_kg,38.204
site_C,GM_line,1,vitamin_b6_mg_kg,4.773
site_C,GM_line,2,protein_pct_dw,7.973
site_C,GM_line,2,fat_pct_dw,5.49
site_C,GM_line,2,fiber_pct_dw,2.142
site_C,GM_line,2,ash_pct_dw,1.456
site_C,GM_line,2,carbohydrate_pct_dw,83.517
site_C,GM_line,2,trypsin_inhibitor_mg_g,3.539
site_C,GM_line,2,lectin_hu_mg,1.945
site_C,GM_line,2,iron_mg_kg,56.163
site_C,GM_line,2,zinc_mg_kg,32.401
site_C,GM_line,2,vitamin_b6_mg_kg,4.597
site_C,GM_line,3,protein_pct_dw,8.163
site_C,GM_line,3,fat_pct_dw,5.311
site_C,GM_line,3,fiber_pct_dw,2.563
site_C,GM_line,3,ash_pct_dw,1.43
site_C,GM_line,3,carbohydrate_pct_dw,83.685
site_C,GM_line,3,trypsin_inhibitor_mg_g,2.578
site_C,GM_line,3,lectin_hu_mg,1.67
site_C,GM_line,3,iron_mg_kg,60.687
site_C,GM_line,3,zinc_mg_kg,37.949
site_C,GM_line,3,vitamin_b6_mg_kg,4.46
site_C,GM_line,4,protein_pct_dw,7.758
site_C,GM_line,4,fat_pct_dw,5.373
site_C,GM_line,4,fiber_pct_dw,2.229
site_C,GM_line,4,ash_pct_dw,1.582
site_C,GM_line,4,carbohydrate_pct_dw,83.165
site_C,GM_line,4,trypsin_inhibitor_mg_g,3.248
site_C,GM_line,4,lectin_hu_mg,1.647
site_C,GM_line,4,iron_mg_kg,60.655
site_C,GM_line,4,zinc_mg_kg,37.431
site_C,GM_line,4,vitamin_b6_mg_kg,4.275
site_C,GM_line,5,protein_pct_dw,7.824
site_C,GM_line,5,fat_pct_dw,4.866
site_C,GM_line,5,fiber_pct_dw,2.161
site_C,GM_line,5,ash_pct_dw,1.351
site_C,GM_line,5,carbohydrate_pct_dw,83.808
site_C,GM_line,5,trypsin_inhibitor_mg_g,3.762
site_C,GM_line,5,lectin_hu_mg,1.575
site_C,GM_line,5,iron_mg_kg,56.274
site_C,GM_line,5,zinc_mg_kg,27.166
site_C,GM_line,5,vitamin_b6_mg_kg,4.373
site_C,GM_line,6,protein_pct_dw,8.062
site_C,GM_line,6,fat_pct_dw,4.513
site_C,GM_line,6,fiber_pct_dw,1.91
site_C,GM_line,6,ash_pct_dw,1.328
site_C,GM_line,6,carbohydrate_pct_dw,82.148
site_C,GM_line,6,trypsin_inhibitor_mg_g,3.373
site_C,GM_line,6,lectin_hu_mg,0.816
site_C,GM_line,6,iron_mg_kg,48.931
site_C,GM_line,6,zinc_mg_kg,24.548
site_C,GM_line,6,vitamin_b6_mg_kg,5.293
site_C,conventional_control,1,protein_pct_dw,7.099
site_C,conventional_control,1,fat_pct_dw,4.513
site_C,conventional_control,1,fiber_pct_dw,2.692
site_C,conventional_control,1,ash_pct_dw,1.567
site_C,conventional_control,1,carbohydrate_pct_dw,81.555
site_C,conventional_control,1,trypsin_inhibitor_mg_g,3.279
site_C,conventional_control,1,lectin_hu_mg,1.306
site_C,conventional_control,1,iron_mg_kg,47.841
site_C,conventional_control,1,zinc_mg_kg,31.546
site_C,conventional_control,1,vitamin_b6_mg_kg,5.86
site_C,conventional_control,2,protein_pct_dw,8.3
site_C,conventional_control,2,fat_pct_dw,4.214
site_C,conventional_control,2,fiber_pct_dw,2.412
site_C,conventional_control,2,ash_pct_dw,1.176
site_C,conventional_control,2,carbohydrate_pct_dw,82.398
site_C,conventional_control,2,trypsin_inhibitor_mg_g,2.606
site_C,conventional_control,2,lectin_hu_mg,1.839
site_C,conventional_control,2,iron_mg_kg,53.783
site_C,conventional_control,2,zinc_mg_kg,31.434
site_C,conventional_control,2,vitamin_b6_mg_kg,4.878
site_C,conventional_control,3,protein_pct_dw,8.011
site_C,conventional_control,3,fat_pct_dw,4.716
site_C,conventional_control,3,fiber_pct_dw,2.245
site_C,conventional_control,3,ash_pct_dw,1.372
site_C,conventional_control,3,carbohydrate_pct_dw,83.321
site_C,conventional_control,3,trypsin_inhibitor_mg_g,3.596
site_C,conventional_control,3,lectin_hu_mg,1.522
site_C,conventional_control,3,iron_mg_kg,54.644
site_C,conventional_control,3,zinc_mg_kg,36.648
site_C,conventional_control,3,vitamin_b6_mg_kg,4.228
site_C,conventional_control,4,protein_pct_dw,8.902
site_C,conventional_control,4,fat_pct_dw,3.964
site_C,conventional_control,4,fiber_pct_dw,2.096
site_C,conventional_control,4,ash_pct_dw,1.305
site_C,conventional_control,4,carbohydrate_pct_dw,84.75
site_C,conventional_control,4,trypsin_inhibitor_mg_g,2.798
site_C,conventional_control,4,lectin_hu_mg,1.55
site_C,conventional_control,4,iron_mg_kg,52.776
site_C,conventional_control,4,zinc_mg_kg,32.382
site_C,conventional_control,4,vitamin_b6_mg_kg,4.77
site_C,conventional_control,5,protein_pct_dw,7.934
site_C,conventional_control,5,fat_pct_dw,3.088
site_C,conventional_control,5,fiber_pct_dw,2.217
site_C,conventional_control,5,ash_pct_dw,1.402
site_C,conventional_control,5,carbohydrate_pct_dw,83.831
site_C,conventional_control,5,trypsin_inhibitor_mg_g,3.885
site_C,conventional_control,5,lectin_hu_mg,1.706
site_C,conventional_control,5,iron_mg_kg,59.897
site_C,conventional_control,5,zinc_mg_kg,27.594
site_C,conventional_control,5,vitamin_b6_mg_kg,5.537
site_C,conventional_control,6,protein_pct_dw,7.714
site_C,conventional_control,6,fat_pct_dw,4.026
site_C,conventional_control,6,fiber_pct_dw,2.144
site_C,conventional_control,6,ash_pct_dw,1.54
site_C,conventional_control,6,carbohydrate_pct_dw,83.145
site_C,conventional_control,6,trypsin_inhibitor_mg_g,3.998
site_C,conventional_control,6,lectin_hu_mg,1.426
site_C,conventional_control,6,iron_mg_kg,61.287
site_C,conventional_control,6,zinc_mg_kg,29.391
site_C,conventional_control,6,vitamin_b6_mg_kg,5.158
