run,isolation_distance_m,baseline_outcross_rate,wild_host_area_ha,refuge_compliance_pct,hybrid_seed_rain_index
107,25.3,0.02928,35.8,4.0,214.268
108,163.7,0.01687,82.8,22.3,0.301
109,137.6,0.02289,86.2,14.1,1.221
110,6.1,0.01032,17.5,1.4,113.149
111,67.1,0.02186,35.3,29.5,25.981
112,93.3,0.02902,23.7,20.1,6.646
113,72.1,0.01138,12.3,25.3,6.217
114,23.5,0.02997,64.6,13.1,373.881
115,41.5,0.01951,34.6,28.7,83.24
116,4.9,0.02271,22.5,6.0,389.906
117,18.6,0.00831,86.6,5.6,181.776
118,53.3,0.01965,74.8,26.7,68.166
119,164.0,0.01582,77.4,26.8,0.231
120,105.3,0.02874,3.9,15.0,2.008
121,84.9,0.02724,91.5,3.8,20.526
122,132.4,0.0125,57.5,9.2,0.623
123,108.3,0.02846,50.4,22.6,4.953
124,26.3,0.02666,1.1,25.4,112.234
125,44.5,0.01812,89.8,10.4,113.46
126,44.5,0.00338,54.4,1.8,11.939
127,120.0,0.00566,82.5,20.0,0.752
128,92.3,0.00323,65.6,22.2,1.619
129,77.5,0.00413,79.7,12.7,4.267
130,111.3,0.02933,69.3,17.5,5.359
131,194.0,0.00715,92.1,29.6,0.029
132,62.8,0.02103,22.5,7.3,20.835
133,104.0,0.01946,20.2,17.2,2.542
134,96.1,0.0193,71.3,18.3,8.614
135,143.3,0.00699,50.1,16.5,0.229
136,146.1,0.0178,59.9,26.1,0.606
137,145.8,0.01914,70.9,18.2,0.625
138,40.3,0.01754,54.7,15.2,101.306
139,89.8,0.0064,78.8,3.7,3.278
140,162.2,0.02197,31.9,21.1,0.245
141,76.3,0.00312,85.9,4.0,3.336
142,196.9,0.01814,10.8,0.8,0.015
143,73.0,0.01365,63.4,14.7,16.008
144,99.5,0.00826,89.0,17.2,3.315
145,94.9,0.02441,25.3,30.0,6.267
146,86.7,0.0061,32.7,21.4,2.556
147,169.1,0.02806,30.5,25.5,0.197
148,31.1,0.02665,56.4,10.4,235.473
149,113.5,0.01146,41.3,15.3,1.337
150,123.7,0.00985,10.8,29.2,0.416
151,170.2,0.00499,89.1,12.5,0.054
152,121.8,0.02757,20.5,24.2,1.423
153,192.0,0.0192,53.4,15.8,0.058
154,174.4,0.00192,59.5,6.7,0.011
155,69.7,0.01582,4.1,17.4,7.821
156,172.0,0.00349,9.6,6.5,0.01
157,191.7,0.01764,97.2,0.1,0.061
158,51.4,0.01576,66.5,7.1,48.768
159,122.0,0.0034,3.4,5.8,0.089
160,56.4,0.02466,79.4,11.1,67.273
161,129.9,0.00861,50.9,26.7,0.648
162,18.7,0.0167,7.5,11.6,102.622
163,146.8,0.01953,68.1,25.4,0.731
164,84.0,0.02891,49.9,16.7,18.475
165,117.5,0.01532,20.5,0.2,0.762
166,5.2,0.0276,87.8,5.7,1087.708
167,139.1,0.01129,29.1,27.9,0.343
168,99.2,0.02587,28.5,18.1,4.583
169,125.1,0.00784,27.3,27.9,0.455
170,63.1,0.02152,76.7,9.3,45.079
171,29.2,0.00357,70.6,21.5,41.421
172,87.1,0.0296,90.3,23.2,23.684
173,188.8,0.02866,22.9,29.3,0.064
174,45.6,0.01382,78.6,0.5,69.284
175,135.2,0.01619,57.3,28.6,0.78
176,10.0,0.01834,30.9,11.7,309.594
177,143.6,0.00898,3.5,25.1,0.108
178,47.7,0.02056,81.9,16.3,97.785
179,90.3,0.02126,24.1,16.9,5.729
180,73.6,0.01623,63.2,10.8,17.983
181,22.6,0.00528,54.9,24.9,81.747
182,69.1,0.02766,0.4,7.9,10.207
183,70.0,0.00434,99.4,14.8,8.821
184,104.4,0.01925,81.4,16.8,6.241
185,194.5,0.00399,48.6,22.3,0.01
186,94.0,0.00524,68.0,14.1,2.094
187,182.9,0.0016,47.7,20.4,0.007
188,92.3,0.01154,74.5,14.6,5.87
189,21.5,0.01955,13.4,19.8,127.422
190,46.0,0.01612,44.6,20.2,52.569
191,81.5,0.02056,33.6,21.3,9.29
192,65.1,0.02058,46.0,24.7,32.029
193,173.2,0.00507,45.0,16.2,0.032
194,135.7,0.00266,14.3,5.8,0.047
195,115.7,0.01914,97.6,20.4,4.197
196,98.2,0.01994,1.5,2.3,1.638
197,79.5,0.01714,1.0,6.6,4.127
198,122.4,0.00813,37.3,23.8,0.639
199,24.9,0.02451,62.0,13.1,273.366
200,32.5,0.00319,18.0,14.9,13.995
201,60.6,0.01934,53.3,29.6,46.009
202,34.2,0.00449,72.3,7.1,33.72
203,135.4,0.01998,9.4,0.6,0.282
204,5.0,0.01311,98.4,3.3,537.897
205,32.0,0.02182,33.7,7.3,106.57
206,180.5,0.00251,64.2,21.8,0.016
207,199.5,0.0171,11.1,23.3,0.015
208,97.5,0.0052,70.9,17.0,2.223
209,99.1,0.02079,84.0,7.7,5.989
210,154.7,0.00448,10.5,15.7,0.036
211,7.2,0.00313,12.6,0.4,36.835
212,85.4,0.02168,28.1,20.5,8.018
213,20.0,0.00284,1.2,18.4,14.163
214,80.2,0.00751,98.6,0.7,6.593
215,196.8,0.02492,59.8,24.5,0.06
216,150.7,0.02448,60.8,22.9,0.631
217,197.0,0.02577,95.9,9.2,0.068
218,149.2,0.01046,83.2,19.1,0.34
219,121.6,0.01631,81.4,18.0,2.15
220,150.8,0.02343,34.0,4.3,0.308
221,131.8,0.00497,33.5,5.8,0.161
222,92.8,0.02201,29.2,20.5,6.684
223,58.5,0.00383,34.7,28.0,7.607
224,104.0,0.02748,37.0,17.3,4.429
225,51.7,0.01948,14.0,17.0,26.376
226,97.3,0.01531,35.6,19.4,3.492
227,29.2,0.01506,44.7,13.2,123.944
228,113.1,0.00626,30.9,1.6,0.515
229,49.1,0.01103,16.5,11.9,20.092
230,58.7,0.02209,37.3,27.0,41.282
231,99.8,0.01669,48.1,24.1,4.311
232,32.5,0.01635,72.1,27.8,196.377
233,192.5,0.00666,71.1,4.6,0.017
234,89.4,0.02102,20.3,15.2,5.544
235,70.5,0.01237,3.7,17.5,4.739
236,5.8,0.0063,30.4,6.3,109.908
237,168.7,0.02837,15.7,6.0,0.12
238,125.2,0.0157,39.6,23.5,1.018
239,83.3,0.01631,97.9,20.2,17.744
240,49.1,0.02946,18.1,19.4,46.949
241,149.0,0.01163,31.9,8.0,0.166
242,189.1,0.02835,72.5,15.2,0.107
243,76.2,0.02115,50.9,0.7,16.428
244,27.0,0.01936,4.4,3.9,57.034
245,21.8,0.0078,16.2,15.5,57.17
246,1.3,0.0025,93.5,9.3,139.351
247,148.8,0.0137,10.3,29.0,0.159
248,196.3,0.00129,63.5,14.1,0.003
249,198.6,0.00306,79.2,2.5,0.007
250,156.8,0.01826,26.5,0.5,0.132
251,32.4,0.02201,72.5,21.8,222.653
252,195.5,0.00587,17.0,5.1,0.007
253,65.6,0.02224,28.5,5.6,20.44
254,66.7,0.02854,31.2,12.7,27.305
255,137.5,0.02255,99.6,7.9,1.329
256,9.8,0.02376,21.5,18.5,370.095
257,165.2,0.02132,12.9,14.6,0.111
258,199.5,0.00752,92.6,3.3,0.017
259,155.0,0.01147,16.2,23.5,0.127
260,156.3,0.02853,87.9,12.8,0.696
261,78.1,0.02018,65.0,18.3,20.179
262,13.2,0.02388,57.7,0.1,381.767
263,158.5,0.02909,75.1,18.8,0.507
264,119.4,0.00771,72.6,8.5,0.853
265,181.9,0.01033,11.1,14.8,0.021
266,23.2,0.0197,99.9,8.9,304.531
267,61.0,0.00171,94.2,29.9,5.993
268,72.1,0.01757,89.7,6.9,26.905
269,136.7,0.02445,62.2,27.4,1.401
270,157.5,0.0187,52.3,27.5,0.303
271,192.2,0.00957,53.6,12.6,0.023
272,59.1,0.022,1.5,9.1,14.336
273,98.7,0.00523,49.9,11.4,1.325
274,5.8,0.02695,62.4,29.7,1091.154
275,50.6,0.00393,65.9,18.6,15.605
276,74.8,0.02604,33.2,16.3,19.928
277,118.8,0.01544,47.1,1.1,1.087
278,94.2,0.01343,63.6,25.4,6.223
279,72.9,0.01552,42.8,2.5,11.129
280,124.8,0.00681,96.2,1.4,0.653
281,165.7,0.01427,70.5,8.2,0.167
282,48.3,0.02564,0.1,14.3,30.675
283,68.6,0.02423,2.3,26.9,13.823
284,141.0,0.00573,69.0,23.7,0.27
285,155.6,0.02053,41.3,5.9,0.248
286,165.1,0.02585,83.9,11.2,0.341
287,41.9,0.02477,17.3,23.4,61.866
288,107.9,0.01334,1.4,15.8,0.896
289,180.0,0.00239,38.8,5.2,0.008
290,78.4,0.028,73.6,11.9,27.331
291,86.0,0.01248,97.2,18.8,11.469
292,197.0,0.01147,88.4,29.2,0.037
293,22.6,0.02303,48.4,19.9,269.065
294,141.1,0.00866,81.3,0.5,0.359
295,170.0,0.02521,7.0,21.2,0.091
296,30.2,0.00321,57.2,7.5,25.047
297,142.9,0.02248,92.4,25.9,1.181
298,93.9,0.02901,39.6,11.5,8.861
299,170.6,0.02988,96.0,6.0,0.338
300,181.5,0.02779,22.1,14.0,0.065
301,174.5,0.02625,10.6,7.7,0.077
302,12.9,0.00909,52.5,7.1,178.153
303,151.4,0.02903,90.7,17.2,0.882
304,184.3,0.02791,31.1,23.0,0.078
305,124.3,0.0165,80.0,25.0,2.133
306,120.2,0.01266,16.9,11.9,0.649
307,9.0,0.00417,74.6,2.0,96.627
308,171.2,0.01813,55.7,14.5,0.137
309,9.3,0.02132,17.5,13.0,346.605
310,62.7,0.01272,71.8,5.9,23.558
311,185.2,0.01277,71.4,26.9,0.064
312,189.9,0.01763,51.5,29.2,0.055
313,198.4,0.00181,22.5,1.6,0.002
314,95.3,0.02878,13.2,23.9,5.604
315,35.5,0.00941,95.7,19.4,113.398
316,97.6,0.00509,65.6,7.8,1.615
317,20.5,0.00116,80.9,19.1,25.595
318,174.5,0.02585,69.7,3.9,0.158
319,112.1,0.02603,82.9,2.1,4.334
320,80.9,0.00376,16.2,29.8,1.665
321,15.9,0.00541,49.7,19.1,106.926
322,81.0,0.01399,66.7,7.6,10.305
323,173.2,0.00639,10.3,13.5,0.018
324,140.7,0.02234,15.0,28.5,0.467
325,16.5,0.00268,63.4,13.2,43.918
326,32.0,0.01694,86.9,27.0,180.922
327,78.5,0.0121,66.0,26.1,13.335
328,20.3,0.01448,3.6,10.3,68.404
329,186.8,0.01332,97.0,20.9,0.075
330,130.5,0.00544,14.0,19.8,0.177
331,19.0,0.00739,23.3,23.1,85.112
332,157.6,0.00288,97.5,11.0,0.066
333,73.7,0.00434,77.1,1.6,5.278
334,49.0,0.02936,93.7,5.1,135.956
335,114.0,0.00911,80.7,18.5,1.727
336,2.7,0.0099,65.2,23.3,441.962
337,93.1,0.00469,28.5,22.7,1.18
338,168.8,0.0229,32.7,17.5,0.159
339,185.6,0.0278,94.7,2.5,0.104
340,68.5,0.0239,86.1,0.5,33.209
341,128.5,0.01877,35.9,23.5,1.034
342,45.4,0.02458,37.3,16.5,75.746
343,112.0,0.01272,29.8,23.5,1.379
344,50.8,0.02593,32.6,4.9,58.436
345,114.3,0.02416,86.1,12.2,4.641
346,34.3,0.00105,1.1,27.6,2.71
347,188.2,0.01515,43.6,5.1,0.035
348,177.4,0.00867,94.3,1.8,0.054
349,67.4,0.0035,54.3,19.6,5.354
350,155.3,0.02554,45.0,17.8,0.385
351,19.1,0.00123,31.2,28.6,13.248
352,148.1,0.02217,7.4,27.2,0.256
353,56.5,0.02966,22.4,22.5,47.525
354,27.1,0.01498,9.0,0.6,57.133
355,135.6,0.01177,12.7,14.4,0.248
356,94.0,0.01857,16.4,26.9,3.932
357,106.0,0.02434,30.2,13.0,3.777
358,104.1,0.00797,1.1,28.9,0.676
359,11.9,0.00827,95.0,19.6,307.304
360,10.3,0.01861,12.4,3.3,167.982
361,120.2,0.02826,38.3,15.3,2.321
362,124.8,0.00965,88.0,20.9,1.014
363,9.4,0.01193,10.7,2.0,105.542
364,75.7,0.02981,48.4,10.3,21.047
365,122.6,0.00611,84.5,21.5,0.754
366,131.3,0.00323,55.7,4.7,0.174
367,165.7,0.0181,21.0,10.5,0.094
368,84.1,0.0017,73.6,20.7,1.422
369,109.7,0.00623,68.1,23.3,1.503
370,115.7,0.01904,36.2,15.6,1.8
371,62.4,0.02013,4.6,28.7,16.802
372,10.8,0.0158,0.8,27.8,145.087
373,0.8,0.01213,82.5,14.2,624.289
374,167.2,0.01771,32.2,4.8,0.108
375,40.0,0.01966,13.8,23.2,65.483
376,126.1,0.0243,51.9,7.3,1.456
377,115.4,0.02399,92.1,25.3,4.598
378,79.9,0.02028,0.8,17.6,4.58
379,166.7,0.02693,5.6,11.8,0.102
380,139.7,0.0253,41.7,16.7,0.872
381,4.5,0.00486,67.6,16.0,173.939
382,155.3,0.02874,47.6,27.7,0.429
383,101.4,0.02686,89.8,6.4,8.113
384,69.4,0.01031,4.4,27.8,5.765
385,145.4,0.00159,34.0,0.9,0.026
386,137.2,0.01852,35.1,23.1,0.656
387,62.1,0.01371,34.0,27.6,20.278
388,196.6,0.02274,48.8,11.8,0.047
389,129.7,0.01621,79.1,2.2,1.095
390,121.2,0.00322,31.8,24.1,0.251
391,14.0,0.0081,74.4,25.3,230.492
392,55.9,0.02659,14.6,10.1,31.427
393,89.4,0.00209,56.1,15.6,1.015
394,126.1,0.02236,37.5,24.3,1.327
395,102.6,0.00947,53.9,5.8,2.0
396,152.6,0.01413,10.8,18.9,0.137
397,52.5,0.0164,95.3,12.9,75.87
398,140.4,0.00825,90.6,5.2,0.383
399,163.3,0.01991,82.6,24.9,0.318
400,153.0,0.02111,89.3,9.7,0.499
