time_point,treatment,plot,otu,read_count
day_30,Bt_maize,4,OTU005,5
day_30,Bt_maize,4,OTU006,11
day_30,Bt_maize,4,OTU007,5
day_30,Bt_maize,4,OTU008,12
day_30,Bt_maize,4,OTU009,2
day_30,Bt_maize,4,OTU010,11
day_30,Bt_maize,4,OTU011,21
day_30,Bt_maize,4,OTU012,10
day_30,Bt_maize,4,OTU013,8
day_30,Bt_maize,4,OTU014,12
day_30,Bt_maize,4,OTU015,2
day_30,Bt_maize,4,OTU016,4
day_30,Bt_maize,4,OTU017,7
day_30,Bt_maize,4,OTU018,9
day_30,Bt_maize,4,OTU019,12
day_30,Bt_maize,4,OTU020,19
day_30,Bt_maize,4,OTU021,14
day_30,Bt_maize,4,OTU022,4
day_30,Bt_maize,4,OTU023,3
day_30,Bt_maize,4,OTU024,3
day_30,Bt_maize,4,OTU025,4
day_30,Bt_maize,4,OTU026,10
day_30,Bt_maize,4,OTU027,40
day_30,Bt_maize,4,OTU028,3
day_30,Bt_maize,4,OTU029,28
day_30,Bt_maize,4,OTU030,15
day_30,Bt_maize,4,OTU031,16
day_30,Bt_maize,4,OTU032,42
day_30,Bt_maize,4,OTU033,4
day_30,Bt_maize,4,OTU034,88
day_30,Bt_maize,4,OTU035,8
day_30,Bt_maize,4,OTU036,11
day_30,Bt_maize,4,OTU037,1
day_30,Bt_maize,4,OTU038,4
day_30,Bt_maize,4,OTU039,31
day_30,Bt_maize,4,OTU040,53
day_30,Bt_maize,5,OTU001,2
day_30,Bt_maize,5,OTU002,4
day_30,Bt_maize,5,OTU003,3
day_30,Bt_maize,5,OTU004,5
day_30,Bt_maize,5,OTU005,34
day_30,Bt_maize,5,OTU006,12
day_30,Bt_maize,5,OTU007,8
day_30,Bt_maize,5,OTU008,2
day_30,Bt_maize,5,OTU009,44
day_30,Bt_maize,5,OTU010,39
day_30,Bt_maize,5,OTU011,12
day_30,Bt_maize,5,OTU012,9
day_30,Bt_maize,5,OTU013,49
day_30,Bt_maize,5,OTU014,13
day_30,Bt_maize,5,OTU015,5
day_30,Bt_maize,5,OTU016,16
day_30,Bt_maize,5,OTU017,56
day_30,Bt_maize,5,OTU018,10
day_30,Bt_maize,5,OTU019,15
day_30,Bt_maize,5,OTU020,1
day_30,Bt_maize,5,OTU021,0
day_30,Bt_maize,5,OTU022,5
day_30,Bt_maize,5,OTU023,12
day_30,Bt_maize,5,OTU024,3
day_30,Bt_maize,5,OTU025,22
day_30,Bt_maize,5,OTU026,7
day_30,Bt_maize,5,OTU027,22
day_30,Bt_maize,5,OTU028,2
day_30,Bt_maize,5,OTU029,2
day_30,Bt_maize,5,OTU030,28
day_30,Bt_maize,5,OTU031,19
day_30,Bt_maize,5,OTU032,22
day_30,Bt_maize,5,OTU033,7
day_30,Bt_maize,5,OTU034,22
day_30,Bt_maize,5,OTU035,31
day_30,Bt_maize,5,OTU036,13
day_30,Bt_maize,5,OTU037,15
day_30,Bt_maize,5,OTU038,38
day_30,Bt_maize,5,OTU039,4
day_30,Bt_maize,5,OTU040,12
day_30,Bt_maize,6,OTU001,18
day_30,Bt_maize,6,OTU002,2
day_30,Bt_maize,6,OTU003,6
day_30,Bt_maize,6,OTU004,8
day_30,Bt_maize,6,OTU005,26
day_30,Bt_maize,6,OTU006,66
day_30,Bt_maize,6,OTU007,11
day_30,Bt_maize,6,OTU008,6
day_30,Bt_maize,6,OTU009,3
day_30,Bt_maize,6,OTU010,17
day_30,Bt_maize,6,OTU011,13
day_30,Bt_maize,6,OTU012,10
day_30,Bt_maize,6,OTU013,1
day_30,Bt_maize,6,OTU014,14
day_30,Bt_maize,6,OTU015,14
day_30,Bt_maize,6,OTU016,20
day_30,Bt_maize,6,OTU017,9
day_30,Bt_maize,6,OTU018,6
day_30,Bt_maize,6,OTU019,4
day_30,Bt_maize,6,OTU020,1
day_30,Bt_maize,6,OTU021,6
day_30,Bt_maize,6,OTU022,18
day_30,Bt_maize,6,OTU023,17
day_30,Bt_maize,6,OTU024,8
day_30,Bt_maize,6,OTU025,1
day_30,Bt_maize,6,OTU026,12
day_30,Bt_maize,6,OTU027,48
day_30,Bt_maize,6,OTU028,4
day_30,Bt_maize,6,OTU029,7
day_30,Bt_maize,6,OTU030,6
day_30,Bt_maize,6,OTU031,6
day_30,Bt_maize,6,OTU032,16
day_30,Bt_maize,6,OTU033,4
day_30,Bt_maize,6,OTU034,18
day_30,Bt_maize,6,OTU035,8
day_30,Bt_maize,6,OTU036,1
day_30,Bt_maize,6,OTU037,7
day_30,Bt_maize,6,OTU038,8
day_30,Bt_maize,6,OTU039,6
day_30,Bt_maize,6,OTU040,7
day_30,nonBt_maize,1,OTU001,1
day_30,nonBt_maize,1,OTU002,17
day_30,nonBt_maize,1,OTU003,32
day_30,nonBt_maize,1,OTU004,17
day_30,nonBt_maize,1,OTU005,7
day_30,nonBt_maize,1,OTU006,3
day_30,nonBt_maize,1,OTU007,3
day_30,nonBt_maize,1,OTU008,8
day_30,nonBt_maize,1,OTU009,11
day_30,nonBt_maize,1,OTU010,18
day_30,nonBt_maize,1,OTU011,11
day_30,nonBt_maize,1,OTU012,3
day_30,nonBt_maize,1,OTU013,21
day_30,nonBt_maize,1,OTU014,10
day_30,nonBt_maize,1,OTU015,0
day_30,nonBt_maize,1,OTU016,6
day_30,nonBt_maize,1,OTU017,29
day_30,nonBt_maize,1,OTU018,1
day_30,nonBt_maize,1,OTU019,4
day_30,nonBt_maize,1,OTU020,16
day_30,nonBt_maize,1,OTU021,38
day_30,nonBt_maize,1,OTU022,8
day_30,nonBt_maize,1,OTU023,2
day_30,nonBt_maize,1,OTU024,7
day_30,nonBt_maize,1,OTU025,17
day_30,nonBt_maize,1,OTU026,25
day_30,nonBt_maize,1,OTU027,72
day_30,nonBt_maize,1,OTU028,2
day_30,nonBt_maize,1,OTU029,2
day_30,nonBt_maize,1,OTU030,6
day_30,nonBt_maize,1,OTU031,34
day_30,nonBt_maize,1,OTU032,12
day_30,nonBt_maize,1,OTU033,19
day_30,nonBt_maize,1,OTU034,4
day_30,nonBt_maize,1,OTU035,15
day_30,nonBt_maize,1,OTU036,14
day_30,nonBt_maize,1,OTU037,7
day_30,nonBt_maize,1,OTU038,14
day_30,nonBt_maize,1,OTU039,1
day_30,nonBt_maize,1,OTU040,21
day_30,nonBt_maize,2,OTU001,16
day_30,nonBt_maize,2,OTU002,14
day_30,nonBt_maize,2,OTU003,10
day_30,nonBt_maize,2,OTU004,2
day_30,nonBt_maize,2,OTU005,2
day_30,nonBt_maize,2,OTU006,0
day_30,nonBt_maize,2,OTU007,12
day_30,nonBt_maize,2,OTU008,3
day_30,nonBt_maize,2,OTU009,17
day_30,nonBt_maize,2,OTU010,16
day_30,nonBt_maize,2,OTU011,30
day_30,nonBt_maize,2,OTU012,10
day_30,nonBt_maize,2,OTU013,27
day_30,nonBt_maize,2,OTU014,36
day_30,nonBt_maize,2,OTU015,4
day_30,nonBt_maize,2,OTU016,22
day_30,nonBt_maize,2,OTU017,0
day_30,nonBt_maize,2,OTU018,6
day_30,nonBt_maize,2,OTU019,8
day_30,nonBt_maize,2,OTU020,1
day_30,nonBt_maize,2,OTU021,3
day_30,nonBt_maize,2,OTU022,28
day_30,nonBt_maize,2,OTU023,11
day_30,nonBt_maize,2,OTU024,3
day_30,nonBt_maize,2,OTU025,2
day_30,nonBt_maize,2,OTU026,3
day_30,nonBt_maize,2,OTU027,9
day_30,nonBt_maize,2,OTU028,15
day_30,nonBt_maize,2,OTU029,3
day_30,nonBt_maize,2,OTU030,4
day_30,nonBt_maize,2,OTU031,3
day_30,nonBt_maize,2,OTU032,39
day_30,nonBt_maize,2,OTU033,0
day_30,nonBt_maize,2,OTU034,36
day_30,nonBt_maize,2,OTU035,3
day_30,nonBt_maize,2,OTU036,9
day_30,nonBt_maize,2,OTU037,2
day_30,nonBt_maize,2,OTU038,25
day_30,nonBt_maize,2,OTU039,26
day_30,nonBt_maize,2,OTU040,4
day_30,nonBt_maize,3,OTU001,5
day_30,nonBt_maize,3,OTU002,10
day_30,nonBt_maize,3,OTU003,22
day_30,nonBt_maize,3,OTU004,6
day_30,nonBt_maize,3,OTU005,3
day_30,nonBt_maize,3,OTU006,11
day_30,nonBt_maize,3,OTU007,20
day_30,nonBt_maize,3,OTU008,18
day_30,nonBt_maize,3,OTU009,126
day_30,nonBt_maize,3,OTU010,23
day_30,nonBt_maize,3,OTU011,6
day_30,nonBt_maize,3,OTU012,18
day_30,nonBt_maize,3,OTU013,1
day_30,nonBt_maize,3,OTU014,6
day_30,nonBt_maize,3,OTU015,7
day_30,nonBt_maize,3,OTU016,22
day_30,nonBt_maize,3,OTU017,8
day_30,nonBt_maize,3,OTU018,6
day_30,nonBt_maize,3,OTU019,17
day_30,nonBt_maize,3,OTU020,9
day_30,nonBt_maize,3,OTU021,67
day_30,nonBt_maize,3,OTU022,29
day_30,nonBt_maize,3,OTU023,12
day_30,nonBt_maize,3,OTU024,6
day_30,nonBt_maize,3,OTU025,8
day_30,nonBt_maize,3,OTU026,6
day_30,nonBt_maize,3,OTU027,6
day_30,nonBt_maize,3,OTU028,107
day_30,nonBt_maize,3,OTU029,3
day_30,nonBt_maize,3,OTU030,7
day_30,nonBt_maize,3,OTU031,7
day_30,nonBt_maize,3,OTU032,56
day_30,nonBt_maize,3,OTU033,3
day_30,nonBt_maize,3,OTU034,11
day_30,nonBt_maize,3,OTU035,5
day_30,nonBt_maize,3,OTU036,13
day_30,nonBt_maize,3,OTU037,3
day_30,nonBt_maize,3,OTU038,8
day_30,nonBt_maize,3,OTU039,0
day_30,nonBt_maize,3,OTU040,12
day_30,nonBt_maize,4,OTU001,7
day_30,nonBt_maize,4,OTU002,14
day_30,nonBt_maize,4,OTU003,1
day_30,nonBt_maize,4,OTU004,1
day_30,nonBt_maize,4,OTU005,7
day_30,nonBt_maize,4,OTU006,1
day_30,nonBt_maize,4,OTU007,18
day_30,nonBt_maize,4,OTU008,17
day_30,nonBt_maize,4,OTU009,13
day_30,nonBt_maize,4,OTU010,29
day_30,nonBt_maize,4,OTU011,31
day_30,nonBt_maize,4,OTU012,6
day_30,nonBt_maize,4,OTU013,10
day_30,nonBt_maize,4,OTU014,5
day_30,nonBt_maize,4,OTU015,1
day_30,nonBt_maize,4,OTU016,28
day_30,nonBt_maize,4,OTU017,5
day_30,nonBt_maize,4,OTU018,5
day_30,nonBt_maize,4,OTU019,36
day_30,nonBt_maize,4,OTU020,20
day_30,nonBt_maize,4,OTU021,8
day_30,nonBt_maize,4,OTU022,36
day_30,nonBt_maize,4,OTU023,74
day_30,nonBt_maize,4,OTU024,3
day_30,nonBt_maize,4,OTU025,10
day_30,nonBt_maize,4,OTU026,26
day_30,nonBt_maize,4,OTU027,16
day_30,nonBt_maize,4,OTU028,0
day_30,nonBt_maize,4,OTU029,3
day_30,nonBt_maize,4,OTU030,10
day_30,nonBt_maize,4,OTU031,9
day_30,nonBt_maize,4,OTU032,16
day_30,nonBt_maize,4,OTU033,5
day_30,nonBt_maize,4,OTU034,3
day_30,nonBt_maize,4,OTU035,4
day_30,nonBt_maize,4,OTU036,10
day_30,nonBt_maize,4,OTU037,7
day_30,nonBt_maize,4,OTU038,2
day_30,nonBt_maize,4,OTU039,3
day_30,nonBt_maize,4,OTU040,13
day_30,nonBt_maize,5,OTU001,9
day_30,nonBt_maize,5,OTU002,6
day_30,nonBt_maize,5,OTU003,11
day_30,nonBt_maize,5,OTU004,30
day_30,nonBt_maize,5,OTU005,14
day_30,nonBt_maize,5,OTU006,3
day_30,nonBt_maize,5,OTU007,8
day_30,nonBt_maize,5,OTU008,0
day_30,nonBt_maize,5,OTU009,15
day_30,nonBt_maize,5,OTU010,24
day_30,nonBt_maize,5,OTU011,12
day_30,nonBt_maize,5,OTU012,5
day_30,nonBt_maize,5,OTU013,4
day_30,nonBt_maize,5,OTU014,4
day_30,nonBt_maize,5,OTU015,10
day_30,nonBt_maize,5,OTU016,30
day_30,nonBt_maize,5,OTU017,26
day_30,nonBt_maize,5,OTU018,12
day_30,nonBt_maize,5,OTU019,56
day_30,nonBt_maize,5,OTU020,12
day_30,nonBt_maize,5,OTU021,4
day_30,nonBt_maize,5,OTU022,16
day_30,nonBt_maize,5,OTU023,7
day_30,nonBt_maize,5,OTU024,3
day_30,nonBt_maize,5,OTU025,2
day_30,nonBt_maize,5,OTU026,6
day_30,nonBt_maize,5,OTU027,26
day_30,nonBt_maize,5,OTU028,11
day_30,nonBt_maize,5,OTU029,14
day_30,nonBt_maize,5,OTU030,3
day_30,nonBt_maize,5,OTU031,22
day_30,nonBt_maize,5,OTU032,1
day_30,nonBt_maize,5,OTU033,7
day_30,nonBt_maize,5,OTU034,2
day_30,nonBt_maize,5,OTU035,1
day_30,nonBt_maize,5,OTU036,15
day_30,nonBt_maize,5,OTU037,10
day_30,nonBt_maize,5,OTU038,38
day_30,nonBt_maize,5,OTU039,12
day_30,nonBt_maize,5,OTU040,1
day_30,nonBt_maize,6,OTU001,12
day_30,nonBt_maize,6,OTU002,2
day_30,nonBt_maize,6,OTU003,9
day_30,nonBt_maize,6,OTU004,6
day_30,nonBt_maize,6,OTU005,4
day_30,nonBt_maize,6,OTU006,10
day_30,nonBt_maize,6,OTU007,5
day_30,nonBt_maize,6,OTU008,26
day_30,nonBt_maize,6,OTU009,3
day_30,nonBt_maize,6,OTU010,7
day_30,nonBt_maize,6,OTU011,7
day_30,nonBt_maize,6,OTU012,20
day_30,nonBt_maize,6,OTU013,5
day_30,nonBt_maize,6,OTU014,3
day_30,nonBt_maize,6,OTU015,13
day_30,nonBt_maize,6,OTU016,5
day_30,nonBt_maize,6,OTU017,0
day_30,nonBt_maize,6,OTU018,1
day_30,nonBt_maize,6,OTU019,1
day_30,nonBt_maize,6,OTU020,4
day_30,nonBt_maize,6,OTU021,19
day_30,nonBt_maize,6,OTU022,10
day_30,nonBt_maize,6,OTU023,13
day_30,nonBt_maize,6,OTU024,25
day_30,nonBt_maize,6,OTU025,6
day_30,nonBt_maize,6,OTU026,1
day_30,nonBt_maize,6,OTU027,12
day_30,nonBt_maize,6,OTU028,4
day_30,nonBt_maize,6,OTU029,15
day_30,nonBt_maize,6,OTU030,15
day_30,nonBt_maize,6,OTU031,1
day_30,nonBt_maize,6,OTU032,0
day_30,nonBt_maize,6,OTU033,7
day_30,nonBt_maize,6,OTU034,10
day_30,nonBt_maize,6,OTU035,2
day_30,nonBt_maize,6,OTU036,5
day_30,nonBt_maize,6,OTU037,4
day_30,nonBt_maize,6,OTU038,25
day_30,nonBt_maize,6,OTU039,17
day_30,nonBt_maize,6,OTU040,6
day_60,Bt_maize,1,OTU001,6
day_60,Bt_maize,1,OTU002,3
day_60,Bt_maize,1,OTU003,37
day_60,Bt_maize,1,OTU004,0
day_60,Bt_maize,1,OTU005,4
day_60,Bt_maize,1,OTU006,8
day_60,Bt_maize,1,OTU007,1
day_60,Bt_maize,1,OTU008,10
day_60,Bt_maize,1,OTU009,54
day_60,Bt_maize,1,OTU010,5
day_60,Bt_maize,1,OTU011,3
day_60,Bt_maize,1,OTU012,25
day_60,Bt_maize,1,OTU013,9
day_60,Bt_maize,1,OTU014,8
day_60,Bt_maize,1,OTU015,48
day_60,Bt_maize,1,OTU016,4
day_60,Bt_maize,1,OTU017,48
day_60,Bt_maize,1,OTU018,4
day_60,Bt_maize,1,OTU019,11
day_60,Bt_maize,1,OTU020,11
day_60,Bt_maize,1,OTU021,4
day_60,Bt_maize,1,OTU022,5
day_60,Bt_maize,1,OTU023,12
day_60,Bt_maize,1,OTU024,5
day_60,Bt_maize,1,OTU025,4
day_60,Bt_maize,1,OTU026,4
day_60,Bt_maize,1,OTU027,3
day_60,Bt_maize,1,OTU028,80
day_60,Bt_maize,1,OTU029,17
day_60,Bt_maize,1,OTU030,3
day_60,Bt_maize,1,OTU031,1
day_60,Bt_maize,1,OTU032,2
day_60,Bt_maize,1,OTU033,7
day_60,Bt_maize,1,OTU034,7
day_60,Bt_maize,1,OTU035,16
day_60,Bt_maize,1,OTU036,6
day_60,Bt_maize,1,OTU037,13
day_60,Bt_maize,1,OTU038,3
day_60,Bt_maize,1,OTU039,11
day_60,Bt_maize,1,OTU040,17
day_60,Bt_maize,2,OTU001,19
day_60,Bt_maize,2,OTU002,15
day_60,Bt_maize,2,OTU003,6
day_60,Bt_maize,2,OTU004,132
day_60,Bt_maize,2,OTU005,23
day_60,Bt_maize,2,OTU006,8
day_60,Bt_maize,2,OTU007,3
day_60,Bt_maize,2,OTU008,4
day_60,Bt_maize,2,OTU009,10
day_60,Bt_maize,2,OTU010,21
day_60,Bt_maize,2,OTU011,8
day_60,Bt_maize,2,OTU012,6
day_60,Bt_maize,2,OTU013,2
day_60,Bt_maize,2,OTU014,3
day_60,Bt_maize,2,OTU015,25
day_60,Bt_maize,2,OTU016,22
day_60,Bt_maize,2,OTU017,28
day_60,Bt_maize,2,OTU018,11
day_60,Bt_maize,2,OTU019,5
day_60,Bt_maize,2,OTU020,5
day_60,Bt_maize,2,OTU021,0
day_60,Bt_maize,2,OTU022,4
day_60,Bt_maize,2,OTU023,0
day_60,Bt_maize,2,OTU024,47
day_60,Bt_maize,2,OTU025,21
day_60,Bt_maize,2,OTU026,1
day_60,Bt_maize,2,OTU027,12
day_60,Bt_maize,2,OTU028,15
day_60,Bt_maize,2,OTU029,2
day_60,Bt_maize,2,OTU030,6
day_60,Bt_maize,2,OTU031,5
day_60,Bt_maize,2,OTU032,3
day_60,Bt_maize,2,OTU033,21
day_60,Bt_maize,2,OTU034,8
day_60,Bt_maize,2,OTU035,4
day_60,Bt_maize,2,OTU036,11
day_60,Bt_maize,2,OTU037,4
day_60,Bt_maize,2,OTU038,166
day_60,Bt_maize,2,OTU039,19
day_60,Bt_maize,2,OTU040,5
day_60,Bt_maize,3,OTU001,3
day_60,Bt_maize,3,OTU002,11
day_60,Bt_maize,3,OTU003,8
day_60,Bt_maize,3,OTU004,6
day_60,Bt_maize,3,OTU005,49
day_60,Bt_maize,3,OTU006,8
day_60,Bt_maize,3,OTU007,0
day_60,Bt_maize,3,OTU008,29
day_60,Bt_maize,3,OTU009,8
day_60,Bt_maize,3,OTU010,12
day_60,Bt_maize,3,OTU011,6
day_60,Bt_maize,3,OTU012,6
day_60,Bt_maize,3,OTU013,0
day_60,Bt_maize,3,OTU014,15
day_60,Bt_maize,3,OTU015,5
day_60,Bt_maize,3,OTU016,15
day_60,Bt_maize,3,OTU017,1
day_60,Bt_maize,3,OTU018,6
day_60,Bt_maize,3,OTU019,17
day_60,Bt_maize,3,OTU020,51
day_60,Bt_maize,3,OTU021,4
day_60,Bt_maize,3,OTU022,9
day_60,Bt_maize,3,OTU023,11
day_60,Bt_maize,3,OTU024,16
day_60,Bt_maize,3,OTU025,25
day_60,Bt_maize,3,OTU026,26
day_60,Bt_maize,3,OTU027,15
day_60,Bt_maize,3,OTU028,7
day_60,Bt_maize,3,OTU029,12
day_60,Bt_maize,3,OTU030,8
day_60,Bt_maize,3,OTU031,0
day_60,Bt_maize,3,OTU032,7
day_60,Bt_maize,3,OTU033,9
day_60,Bt_maize,3,OTU034,8
day_60,Bt_maize,3,OTU035,23
day_60,Bt_maize,3,OTU036,17
day_60,Bt_maize,3,OTU037,21
day_60,Bt_maize,3,OTU038,6
day_60,Bt_maize,3,OTU039,13
day_60,Bt_maize,3,OTU040,7
day_60,Bt_maize,4,OTU001,11
day_60,Bt_maize,4,OTU002,75
day_60,Bt_maize,4,OTU003,1
day_60,Bt_maize,4,OTU004,100
day_60,Bt_maize,4,OTU005,7
day_60,Bt_maize,4,OTU006,5
day_60,Bt_maize,4,OTU007,10
day_60,Bt_maize,4,OTU008,16
day_60,Bt_maize,4,OTU009,5
day_60,Bt_maize,4,OTU010,28
day_60,Bt_maize,4,OTU011,11
day_60,Bt_maize,4,OTU012,21
day_60,Bt_maize,4,OTU013,55
day_60,Bt_maize,4,OTU014,8
day_60,Bt_maize,4,OTU015,21
day_60,Bt_maize,4,OTU016,1
day_60,Bt_maize,4,OTU017,5
day_60,Bt_maize,4,OTU018,9
day_60,Bt_maize,4,OTU019,39
day_60,Bt_maize,4,OTU020,7
day_60,Bt_maize,4,OTU021,6
day_60,Bt_maize,4,OTU022,2
day_60,Bt_maize,4,OTU023,15
day_60,Bt_maize,4,OTU024,21
day_60,Bt_maize,4,OTU025,9
day_60,Bt_maize,4,OTU026,4
day_60,Bt_maize,4,OTU027,5
day_60,Bt_maize,4,OTU028,3
day_60,Bt_maize,4,OTU029,20
day_60,Bt_maize,4,OTU030,8
day_60,Bt_maize,4,OTU031,25
day_60,Bt_maize,4,OTU032,10
day_60,Bt_maize,4,OTU033,15
day_60,Bt_maize,4,OTU034,4
day_60,Bt_maize,4,OTU035,1
day_60,Bt_maize,4,OTU036,51
day_60,Bt_maize,4,OTU037,11
day_60,Bt_maize,4,OTU038,12
day_60,Bt_maize,4,OTU039,26
day_60,Bt_maize,4,OTU040,8
day_60,Bt_maize,5,OTU001,33
day_60,Bt_maize,5,OTU002,7
day_60,Bt_maize,5,OTU003,12
day_60,Bt_maize,5,OTU004,3
day_60,Bt_maize,5,OTU005,10
day_60,Bt_maize,5,OTU006,8
day_60,Bt_maize,5,OTU007,10
day_60,Bt_maize,5,OTU008,3
day_60,Bt_maize,5,OTU009,2
day_60,Bt_maize,5,OTU010,3
day_60,Bt_maize,5,OTU011,7
day_60,Bt_maize,5,OTU012,15
day_60,Bt_maize,5,OTU013,13
day_60,Bt_maize,5,OTU014,2
day_60,Bt_maize,5,OTU015,4
day_60,Bt_maize,5,OTU016,0
day_60,Bt_maize,5,OTU017,11
day_60,Bt_maize,5,OTU018,19
day_60,Bt_maize,5,OTU019,3
day_60,Bt_maize,5,OTU020,1
day_60,Bt_maize,5,OTU021,8
day_60,Bt_maize,5,OTU022,10
day_60,Bt_maize,5,OTU023,9
day_60,Bt_maize,5,OTU024,9
day_60,Bt_maize,5,OTU025,3
day_60,Bt_maize,5,OTU026,36
day_60,Bt_maize,5,OTU027,6
day_60,Bt_maize,5,OTU028,9
day_60,Bt_maize,5,OTU029,4
day_60,Bt_maize,5,OTU030,11
day_60,Bt_maize,5,OTU031,1
day_60,Bt_maize,5,OTU032,3
day_60,Bt_maize,5,OTU033,2
day_60,Bt_maize,5,OTU034,4
day_60,Bt_maize,5,OTU035,21
day_60,Bt_maize,5,OTU036,42
day_60,Bt_maize,5,OTU037,14
day_60,Bt_maize,5,OTU038,7
day_60,Bt_maize,5,OTU039,53
day_60,Bt_maize,5,OTU040,35
day_60,Bt_maize,6,OTU001,13
day_60,Bt_maize,6,OTU002,7
day_60,Bt_maize,6,OTU003,27
day_60,Bt_maize,6,OTU004,2
day_60,Bt_maize,6,OTU005,9
day_60,Bt_maize,6,OTU006,6
