gene,WT_rep1,WT_rep2,WT_rep3,KO_rep1,KO_rep2,KO_rep3
g136,114,136,130,122,125,146
g137,208,195,189,196,239,188
g138,145,148,136,142,147,152
g139,195,156,201,192,199,172
g140,149,166,171,178,164,151
g141,122,124,92,129,131,141
g142,170,161,157,159,172,172
g143,57,49,74,63,62,71
g144,81,77,70,81,79,84
g145,174,172,157,191,172,176
g146,191,174,176,168,175,170
g147,100,81,86,85,85,114
g148,150,146,131,141,130,142
g149,162,132,135,160,145,140
g150,167,194,177,184,172,167
g151,152,125,132,139,133,144
g152,108,130,133,132,123,123
g153,96,111,100,127,121,117
g154,111,104,124,110,126,141
g155,165,166,156,158,127,134
g156,175,168,189,173,179,173
g157,122,135,114,122,130,128
g158,91,104,93,86,86,103
g159,90,103,98,100,91,88
g160,161,161,188,169,147,156
g161,175,159,176,176,155,179
g162,78,72,72,100,90,80
g163,70,68,63,60,52,74
g164,138,146,145,149,137,134
g165,90,74,76,70,70,81
g166,160,165,155,166,168,178
g167,102,104,108,110,107,88
g168,63,62,70,88,75,82
g169,195,204,178,166,192,165
g170,77,91,77,103,78,80
g171,99,94,93,103,109,92
g172,85,72,78,89,80,97
g173,88,80,79,79,68,79
g174,57,60,61,69,71,59
g175,70,60,72,74,60,69
g176,83,69,78,106,88,80
g177,62,73,66,58,62,58
g178,137,131,144,149,140,124
g179,164,170,166,148,169,164
g180,128,110,104,95,133,102
g181,107,89,86,110,118,125
g182,130,107,138,117,119,132
g183,188,185,167,205,207,163
g184,173,191,163,173,170,170
g185,73,56,70,70,65,66
g186,75,107,81,99,101,72
g187,89,106,86,78,95,76
g188,77,90,85,117,99,101
g189,139,134,146,132,128,144
g190,101,113,121,118,127,118
g191,84,72,51,69,82,68
g192,106,120,95,119,115,109
g193,133,158,129,134,126,128
g194,64,74,82,82,49,52
g195,176,179,184,169,180,169
g196,72,57,79,77,67,66
g197,181,214,176,191,187,172
g198,103,58,79,58,74,74
g199,178,184,178,170,183,195
g200,193,170,164,211,189,162
g201,190,187,161,216,205,190
g202,180,198,170,182,177,165
g203,167,171,171,194,167,184
g204,157,156,139,153,165,134
g205,178,165,166,178,169,176
g206,94,82,80,79,66,79
g207,118,148,108,134,142,125
g208,118,148,148,126,116,146
g209,174,172,180,185,189,201
g210,139,137,134,118,119,136
g211,122,123,111,132,110,123
g212,161,162,165,177,142,150
g213,116,85,88,102,101,100
g214,76,75,83,78,84,92
g215,132,130,130,139,138,119
g216,130,113,110,112,112,112
g217,81,106,84,106,85,84
g218,108,107,105,106,104,119
g219,109,100,106,115,94,119
g220,100,120,108,85,101,104
g221,127,126,121,134,117,126
g222,169,189,164,180,159,147
g223,111,92,114,85,94,96
g224,170,191,191,183,218,170
g225,160,189,195,196,201,197
g226,108,149,128,156,122,117
g227,108,110,103,100,111,126
g228,137,137,133,132,141,145
g229,180,188,169,205,178,175
g230,144,158,163,158,157,183
g231,182,162,170,167,177,185
g232,142,134,141,160,137,139
g233,144,131,156,191,171,134
g234,101,118,95,87,88,106
g235,158,165,163,179,159,163
g236,93,80,84,79,89,89
g237,158,157,151,157,134,145
g238,166,168,198,178,209,155
g239,65,74,84,74,78,77
g240,174,147,125,120,146,126
g241,75,70,66,59,66,60
g242,156,170,177,163,161,147
g243,66,87,73,65,58,64
g244,183,197,190,191,197,172
g245,74,76,78,79,72,76
g246,225,196,209,190,178,175
g247,163,193,168,169,178,157
g248,138,151,144,144,121,125
g249,184,158,173,177,161,172
g250,192,180,193,164,182,182
g251,196,185,212,193,202,189
g252,96,95,102,92,95,94
g253,133,140,145,162,141,143
g254,84,77,74,81,77,79
g255,153,167,128,124,125,148
g256,78,74,75,70,91,75
g257,137,146,137,141,145,127
g258,134,130,144,142,183,148
g259,104,121,126,135,124,133
g260,147,122,128,121,147,161
g261,158,174,164,179,155,163
g262,163,176,191,193,150,148
g263,140,127,130,128,131,152
g264,145,135,167,158,157,148
g265,177,162,170,164,206,191
g266,65,78,77,68,81,90
g267,96,76,69,83,76,66
g268,67,73,74,78,85,73
g269,141,145,160,140,153,147
g270,107,106,129,118,137,133
g271,163,178,159,170,161,173
g272,157,141,144,147,168,157
g273,118,100,80,92,103,108
g274,192,187,169,183,179,171
g275,152,187,172,167,168,165
g276,107,110,106,91,99,91
g277,110,124,115,97,108,119
g278,107,118,90,102,112,87
g279,88,88,74,90,86,82
g280,85,69,60,77,87,64
g281,180,203,182,175,202,193
g282,115,109,134,133,121,127
g283,119,114,118,105,121,112
g284,156,167,170,178,178,169
g285,131,122,136,142,120,151
g286,177,181,184,197,184,176
g287,157,168,191,162,184,152
g288,124,143,129,133,126,130
g289,123,127,100,118,97,94
g290,228,209,189,215,197,208
g291,157,157,161,155,144,140
g292,178,206,198,196,187,193
g293,75,70,60,85,79,72
g294,173,201,186,162,167,191
g295,127,147,165,137,144,171
g296,75,77,92,75,81,69
g297,147,140,134,162,136,127
g298,156,149,143,170,154,126
g299,70,60,60,62,62,60
g300,114,125,131,129,121,112
g301,179,183,169,152,158,194
g302,94,98,89,89,92,111
g303,106,123,124,116,129,117
g304,120,120,128,122,112,118
g305,90,105,88,93,101,108
g306,176,208,188,174,197,207
g307,176,152,165,163,179,192
g308,73,69,75,68,81,82
g309,212,205,194,205,217,201
g310,187,189,172,171,200,177
g311,88,99,91,96,103,94
g312,180,176,199,170,169,182
g313,90,80,77,65,71,67
g314,212,165,212,208,188,186
g315,141,153,157,174,170,158
g316,149,154,122,155,169,168
g317,66,68,65,65,74,81
g318,187,190,171,177,209,190
g319,58,59,63,64,60,55
g320,91,112,102,113,91,89
g321,85,82,90,70,80,70
g322,151,173,141,173,166,171
g323,86,103,82,79,100,68
g324,176,192,180,181,208,208
g325,158,151,127,145,150,135
g326,69,62,54,70,74,56
g327,53,61,64,72,63,50
g328,66,74,61,58,58,52
g329,143,141,140,137,127,126
g330,171,156,159,169,181,159
g331,92,81,88,92,94,79
g332,178,169,189,183,176,185
g333,65,64,82,65,70,59
g334,205,159,184,164,166,189
g335,201,180,192,199,176,187
g336,162,162,165,147,184,152
g337,161,155,168,148,152,165
g338,192,171,195,169,186,184
g339,79,69,68,62,69,56
g340,86,98,92,81,80,80
g341,85,70,63,76,79,76
g342,124,137,137,127,132,126
g343,153,155,158,173,149,160
g344,159,171,170,143,154,157
g345,194,207,162,193,214,193
g346,83,89,99,72,73,87
g347,144,175,163,168,190,170
g348,78,55,83,100,85,82
g349,90,110,125,87,84,111
g350,145,171,140,158,146,144
g351,195,194,188,189,191,198
g352,159,138,141,149,147,152
g353,62,64,72,63,72,83
g354,128,169,152,134,132,146
g355,62,76,71,62,67,66
g356,181,187,186,206,187,185
g357,178,161,133,157,151,164
g358,83,87,83,88,91,65
g359,71,71,61,67,70,80
g360,89,88,84,99,88,80
g361,220,179,194,198,184,187
g362,129,128,120,125,112,133
g363,187,156,167,145,171,171
g364,158,133,164,162,125,150
g365,158,116,150,122,122,150
g366,84,94,74,85,83,95
g367,202,200,204,169,175,181
g368,85,101,98,98,94,93
g369,148,149,140,131,157,153
g370,171,142,169,159,164,155
g371,161,151,158,127,151,157
g372,193,183,186,200,201,186
g373,86,81,85,76,82,93
g374,130,127,123,130,155,114
g375,119,118,120,121,122,128
g376,112,131,111,114,130,134
g377,72,76,70,87,77,64
g378,79,89,68,78,82,73
g379,125,100,92,108,112,98
g380,110,104,113,116,97,95
g381,111,125,126,107,90,97
g382,141,140,144,143,147,151
g383,149,156,159,153,145,186
g384,126,105,118,129,123,91
g385,142,101,119,120,131,116
g386,92,71,95,98,77,79
g387,127,128,163,138,126,162
g388,95,103,105,101,97,102
g389,75,39,55,68,56,61
g390,118,112,137,129,123,108
g391,129,109,126,121,105,130
g392,73,95,93,90,88,76
g393,137,136,155,115,147,117
g394,130,140,132,147,133,168
g395,145,146,139,162,169,180
g396,163,146,148,149,158,145
g397,169,155,146,147,149,159
g398,100,115,94,111,108,116
g399,157,139,182,169,170,172
g400,123,133,133,128,138,125
g401,119,122,121,120,119,138
g402,160,142,145,161,153,134
g403,114,122,108,115,110,125
g404,107,130,111,101,130,135
g405,151,173,174,159,178,163
g406,177,166,197,171,185,193
g407,197,183,173,221,197,190
g408,130,121,145,134,144,127
g409,131,133,142,130,119,149
g410,163,172,183,163,165,172
g411,99,105,117,102,106,118
g412,168,169,169,185,183,163
g413,121,115,123,132,140,131
g414,66,68,99,80,74,77
g415,69,81,66,74,56,58
g416,177,174,159,182,178,194
g417,68,77,61,72,72,63
g418,99,104,98,100,91,106
g419,108,99,104,92,116,99
g420,92,96,77,77,95,95
g421,102,100,121,106,113,125
g422,167,176,150,149,173,152
g423,43,57,62,67,61,51
g424,176,195,199,166,185,193
g425,195,165,196,198,178,177
g426,114,116,118,117,110,110
g427,91,88,81,93,75,80
g428,135,125,136,153,159,127
g429,82,77,74,70,85,80
g430,101,117,126,121,97,121
g431,181,199,169,218,201,195
g432,203,212,192,181,189,213
g433,155,163,168,175,166,174
g434,106,95,124,105,102,118
g435,155,150,165,146,155,142
g436,163,144,152,163,168,163
g437,111,112,112,123,125,127
g438,161,153,125,130,154,148
g439,60,59,74,57,70,70
g440,85,88,90,86,85,86
g441,137,139,132,143,129,141
g442,86,91,84,80,83,96
g443,84,81,73,79,83,87
g444,183,177,180,182,177,173
g445,169,208,203,186,207,181
g446,128,127,118,139,138,143
g447,185,175,166,184,151,173
g448,196,203,204,171,182,224
g449,82,76,85,79,87,87
g450,128,131,118,115,131,120
g451,110,107,106,117,119,132
g452,55,76,72,68,77,73
g453,148,174,157,161,160,169
g454,104,122,124,130,123,132
g455,136,118,119,129,111,143
g456,88,92,84,94,90,78
g457,81,71,88,88,77,75
g458,166,206,193,164,182,187
g459,63,55,76,68,57,61
g460,89,90,97,87,102,102
g461,110,105,108,90,100,112
g462,135,128,119,123,131,121
g463,147,136,172,148,138,132
g464,126,123,143,127,114,123
g465,61,77,70,79,82,68
g466,101,96,104,84,96,96
g467,203,187,179,178,188,172
g468,171,140,156,126,140,135
g469,152,153,135,158,146,155
g470,155,140,154,160,166,161
g471,158,155,168,173,159,154
g472,71,65,68,70,73,79
g473,121,112,124,112,110,118
g474,152,137,138,129,155,143
g475,104,111,114,95,117,110
g476,173,193,186,199,176,196
g477,129,107,112,124,124,121
g478,166,137,164,177,159,156
g479,174,175,185,162,181,197
g480,124,125,122,100,157,130
g481,196,178,186,208,173,172
g482,135,143,144,140,137,168
g483,161,181,141,169,167,195
g484,104,109,102,109,134,110
g485,139,112,135,119,129,113
g486,127,143,138,147,142,116
g487,80,78,74,68,73,95
g488,123,100,115,141,106,125
g489,174,182,184,188,185,188
g490,150,141,139,134,158,167
g491,80,89,85,75,86,88
g492,110,86,114,121,103,86
g493,86,77,95,84,73,84
g494,64,53,81,65,64,52
g495,209,181,197,181,206,213
g496,108,116,103,140,114,110
g497,105,106,99,114,106,97
g498,140,144,154,137,154,150
g499,59,56,66,57,49,59
g500,99,113,85,99,101,94
