cell,latent_label,transition_flag,extra
cell0260,transition,0,0
cell0261,neural,0,0
cell0262,muscle,0,0
cell0263,neural,0,0
cell0264,muscle,0,0
cell0265,neural,0,0
cell0266,transition,0,0
cell0267,muscle,0,0
cell0268,blood,0,0
cell0269,transition,0,0
cell0270,neural,0,0
cell0271,muscle,0,0
cell0272,blood,0,0
cell0273,blood,0,0
cell0274,blood,0,0
cell0275,neural,0,0
cell0276,muscle,0,0
cell0277,neural,0,0
cell0278,neural,0,0
cell0279,blood,0,0
cell0280,muscle,0,0
cell0281,neural,0,0
cell0282,blood,0,0
cell0283,neural,0,0
cell0284,blood,0,0
cell0285,neural,0,0
cell0286,neural,0,0
cell0287,blood,0,0
cell0288,blood,0,0
cell0289,muscle,0,0
cell0290,blood,0,0
cell0291,muscle,0,0
cell0292,blood,0,0
cell0293,blood,0,0
cell0294,neural,0,0
cell0295,neural,0,0
cell0296,neural,0,0
cell0297,muscle,0,0
cell0298,muscle,0,0
cell0299,neural,0,0
cell0300,muscle,0,0
cell0301,neural,0,0
cell0302,blood,0,0
cell0303,neural,0,0
cell0304,blood,0,0
cell0305,transition,0,0
cell0306,blood,0,0
cell0307,blood,0,0
cell0308,neural,0,0
cell0309,neural,0,0
cell0310,blood,0,0
cell0311,neural,0,0
cell0312,neural,0,0
cell0313,blood,0,0
cell0314,neural,0,0
cell0315,blood,0,0
cell0316,neural,0,0
cell0317,neural,0,0
cell0318,muscle,0,0
cell0319,neural,0,0
cell0320,neural,0,0
cell0321,neural,0,0
cell0322,transition,0,0
cell0323,muscle,0,0
cell0324,neural,0,0
cell0325,neural,0,0
cell0326,neural,0,0
cell0327,transition,0,0
cell0328,blood,0,0
cell0329,blood,0,0
cell0330,neural,0,0
cell0331,neural,0,0
cell0332,neural,0,0
cell0333,transition,0,0
cell0334,transition,0,0
cell0335,blood,0,0
cell0336,neural,0,0
cell0337,neural,0,0
cell0338,neural,0,0
cell0339,muscle,0,0
cell0340,neural,0,0
cell0341,muscle,0,0
cell0342,blood,0,0
cell0343,muscle,0,0
cell0344,neural,0,0
cell0345,blood,0,0
cell0346,muscle,0,0
cell0347,transition,0,0
cell0348,blood,0,0
cell0349,neural,0,0
cell0350,blood,0,0
cell0351,transition,0,0
cell0352,neural,0,0
cell0353,blood,0,0
cell0354,neural,0,0
cell0355,blood,0,0
cell0356,transition,0,0
cell0357,neural,0,0
cell0358,blood,0,0
cell0359,blood,0,0
cell0360,neural,0,0
cell0361,neural,0,0
cell0362,neural,0,0
cell0363,blood,0,0
cell0364,transition,0,0
cell0365,transition,0,0
cell0366,muscle,0,0
cell0367,blood,0,0
cell0368,neural,0,0
cell0369,neural,0,0
cell0370,blood,0,0
cell0371,neural,0,0
cell0372,neural,0,0
cell0373,neural,0,0
cell0374,muscle,0,0
cell0375,muscle,0,0
cell0376,neural,0,0
cell0377,muscle,0,0
cell0378,neural,0,0
cell0379,transition,0,0
cell0380,transition,0,0
cell0381,neural,0,0
cell0382,neural,0,0
cell0383,neural,0,0
cell0384,neural,0,0
cell0385,muscle,0,0
cell0386,neural,0,0
cell0387,neural,0,0
cell0388,neural,0,0
cell0389,neural,0,0
cell0390,transition,0,0
cell0391,neural,0,0
cell0392,muscle,0,0
cell0393,muscle,0,0
cell0394,neural,0,0
cell0395,muscle,0,0
cell0396,transition,0,0
cell0397,neural,0,0
cell0398,neural,0,0
cell0399,blood,0,0
cell0400,muscle,0,0
cell0401,transition,0,0
cell0402,transition,0,0
cell0403,blood,0,0
cell0404,muscle,0,0
cell0405,neural,0,0
cell0406,muscle,0,0
cell0407,muscle,0,0
cell0408,neural,0,0
cell0409,blood,0,0
cell0410,muscle,0,0
cell0411,neural,0,0
cell0412,transition,0,0
cell0413,neural,0,0
cell0414,neural,0,0
cell0415,blood,0,0
cell0416,neural,0,0
cell0417,muscle,0,0
cell0418,neural,0,0
cell0419,muscle,0,0
cell0420,muscle,0,0
cell0421,muscle,0,0
cell0422,transition,0,0
cell0423,transition,0,0
cell0424,neural,0,0
cell0425,muscle,0,0
cell0426,blood,0,0
cell0427,neural,0,0
cell0428,muscle,0,0
cell0429,muscle,0,0
cell0430,neural,0,0
cell0431,neural,0,0
cell0432,blood,0,0
cell0433,neural,0,0
cell0434,neural,0,0
cell0435,neural,0,0
cell0436,muscle,0,0
cell0437,muscle,0,0
cell0438,blood,0,0
cell0439,blood,0,0
cell0440,neural,0,0
cell0441,transition,0,0
cell0442,neural,0,0
cell0443,neural,0,0
cell0444,neural,0,0
cell0445,muscle,0,0
cell0446,neural,0,0
cell0447,muscle,0,0
cell0448,muscle,0,0
cell0449,blood,0,0
cell0450,muscle,0,0
cell0451,muscle,0,0
cell0452,blood,0,0
cell0453,muscle,0,0
cell0454,neural,0,0
cell0455,blood,0,0
cell0456,neural,0,0
cell0457,neural,0,0
cell0458,muscle,0,0
cell0459,blood,0,0
cell0460,neural,0,0
cell0461,blood,0,0
cell0462,neural,0,0
cell0463,muscle,0,0
cell0464,blood,0,0
cell0465,blood,0,0
cell0466,neural,0,0
cell0467,neural,0,0
cell0468,blood,0,0
cell0469,muscle,0,0
cell0470,neural,0,0
cell0471,muscle,0,0
cell0472,neural,0,0
cell0473,blood,0,0
cell0474,neural,0,0
cell0475,blood,0,0
cell0476,muscle,0,0
cell0477,blood,0,0
cell0478,muscle,0,0
cell0479,neural,0,0
cell0480,blood,0,0
cell0481,muscle,0,0
cell0482,blood,0,0
cell0483,muscle,0,0
cell0484,blood,0,0
cell0485,neural,0,0
cell0486,blood,0,0
cell0487,muscle,0,0
cell0488,blood,0,0
cell0489,neural,0,0
cell0490,muscle,0,0
cell0491,neural,0,0
cell0492,muscle,0,0
cell0493,neural,0,0
cell0494,muscle,0,0
cell0495,neural,0,0
cell0496,blood,0,0
cell0497,neural,0,0
cell0498,muscle,0,0
cell0499,neural,0,0
cell0500,neural,0,0
cell0501,blood,0,0
cell0502,neural,0,0
cell0503,blood,0,0
cell0504,neural,0,0
cell0505,muscle,0,0
cell0506,muscle,0,0
cell0507,neural,0,0
cell0508,neural,0,0
cell0509,neural,0,0
cell0510,blood,0,0
cell0511,blood,0,0
cell0512,muscle,0,0
cell0513,muscle,0,0
cell0514,muscle,0,0
cell0515,blood,0,0
cell0516,muscle,0,0
cell0517,muscle,0,0
cell0518,blood,0,0
cell0519,muscle,0,0
cell0520,neural,0,0
cell0521,muscle,0,0
cell0522,muscle,0,0
cell0523,neural,0,0
cell0524,muscle,0,0
cell0525,neural,0,0
cell0526,neural,0,0
cell0527,blood,0,0
cell0528,neural,0,0
cell0529,blood,0,0
cell0530,muscle,0,0
cell0531,blood,0,0
cell0532,neural,0,0
cell0533,muscle,0,0
cell0534,neural,0,0
cell0535,blood,0,0
cell0536,neural,0,0
cell0537,blood,0,0
cell0538,blood,0,0
cell0539,blood,0,0
cell0540,neural,0,0
cell0541,muscle,0,0
cell0542,blood,0,0
cell0543,blood,0,0
cell0544,muscle,0,0
cell0545,blood,0,0
cell0546,neural,0,0
cell0547,muscle,0,0
cell0548,neural,0,0
cell0549,muscle,0,0
cell0550,blood,0,0
cell0551,blood,0,0
cell0552,muscle,0,0
cell0553,neural,0,0
cell0554,muscle,0,0
cell0555,muscle,0,0
cell0556,blood,0,0
cell0557,muscle,0,0
cell0558,muscle,0,0
cell0559,muscle,0,0
cell0560,neural,0,0
cell0561,muscle,0,0
cell0562,muscle,0,0
cell0563,muscle,0,0
cell0564,blood,0,0
cell0565,muscle,0,0
cell0566,muscle,0,0
cell0567,muscle,0,0
cell0568,neural,0,0
cell0569,muscle,0,0
cell0570,blood,0,0
cell0571,blood,0,0
cell0572,neural,0,0
cell0573,blood,0,0
cell0574,neural,0,0
cell0575,neural,0,0
cell0576,blood,0,0
cell0577,blood,0,0
cell0578,muscle,0,0
cell0579,neural,0,0
cell0580,muscle,0,0
cell0581,neural,0,0
cell0582,neural,0,0
cell0583,muscle,0,0
cell0584,muscle,0,0
cell0585,muscle,0,0
cell0586,muscle,0,0
cell0587,neural,0,0
cell0588,neural,0,0
cell0589,neural,0,0
cell0590,muscle,0,0
cell0591,blood,0,0
cell0592,neural,0,0
cell0593,blood,0,0
cell0594,neural,0,0
cell0595,muscle,0,0
cell0596,neural,0,0
cell0597,neural,0,0
cell0598,muscle,0,0
cell0599,muscle,0,0
